Lon,Lat,ID_merged
57,88.5,165
58,88.5,165
59,88.5,165
60,88.5,165
61,88.5,165
62,88.5,165
63,88.5,165
64,88.5,165
65,88.5,165
66,88.5,165
67,88.5,165
68,88.5,165
69,88.5,165
70,88.5,165
71,88.5,165
72,88.5,165
73,88.5,165
74,88.5,165
75,88.5,165
76,88.5,165
77,88.5,165
78,88.5,165
79,88.5,165
80,88.5,165
81,88.5,165
82,88.5,165
83,88.5,165
84,88.5,165
85,88.5,165
86,88.5,165
87,88.5,165
88,88.5,165
89,88.5,165
90,88.5,165
91,88.5,165
92,88.5,165
93,88.5,165
94,88.5,165
95,88.5,165
96,88.5,165
97,88.5,165
98,88.5,165
99,88.5,165
100,88.5,165
101,88.5,165
102,88.5,165
103,88.5,165
104,88.5,165
105,88.5,165
106,88.5,165
107,88.5,165
108,88.5,165
109,88.5,165
110,88.5,165
111,88.5,165
112,88.5,165
113,88.5,165
114,88.5,165
115,88.5,165
116,88.5,165
117,88.5,165
118,88.5,165
119,88.5,165
120,88.5,165
121,88.5,165
122,88.5,165
123,88.5,165
124,88.5,165
125,88.5,165
126,88.5,165
127,88.5,165
128,88.5,165
129,88.5,165
130,88.5,165
131,88.5,165
132,88.5,165
133,88.5,165
134,88.5,165
135,88.5,165
136,88.5,165
137,88.5,165
138,88.5,165
139,88.5,165
140,88.5,165
141,88.5,165
142,88.5,165
143,88.5,165
144,88.5,165
145,88.5,165
146,88.5,165
147,88.5,165
148,88.5,165
149,88.5,165
150,88.5,165
151,88.5,165
152,88.5,165
153,88.5,165
154,88.5,165
155,88.5,165
156,88.5,165
157,88.5,165
158,88.5,165
159,88.5,165
160,88.5,165
161,88.5,165
162,88.5,165
163,88.5,165
164,88.5,165
165,88.5,165
166,88.5,165
167,88.5,165
168,88.5,165
169,88.5,165
170,88.5,165
171,88.5,165
172,88.5,165
173,88.5,165
174,88.5,165
175,88.5,165
176,88.5,165
177,88.5,165
178,88.5,165
179,88.5,165
-180,87.5,165
-179,87.5,165
-178,87.5,165
-177,87.5,165
-176,87.5,165
-175,87.5,165
-174,87.5,165
-173,87.5,165
-172,87.5,165
-171,87.5,165
-170,87.5,165
-169,87.5,165
-168,87.5,165
-167,87.5,165
-166,87.5,165
-165,87.5,165
-164,87.5,165
-163,87.5,165
-162,87.5,165
-161,87.5,165
-160,87.5,165
-159,87.5,165
-158,87.5,165
-157,87.5,165
-156,87.5,165
-155,87.5,165
-154,87.5,165
-153,87.5,165
-152,87.5,165
-151,87.5,165
-150,87.5,165
-149,87.5,165
-148,87.5,165
-147,87.5,165
-146,87.5,165
-145,87.5,165
-144,87.5,165
-143,87.5,165
-142,87.5,165
-141,87.5,165
-140,87.5,165
-139,87.5,165
-138,87.5,165
-137,87.5,165
-136,87.5,165
-135,87.5,165
-134,87.5,165
-133,87.5,165
-132,87.5,165
-131,87.5,165
-130,87.5,165
-129,87.5,165
-128,87.5,165
-127,87.5,165
-126,87.5,165
-125,87.5,165
-124,87.5,165
-123,87.5,165
-122,87.5,165
-121,87.5,165
-120,87.5,165
-119,87.5,165
-118,87.5,165
-117,87.5,165
-116,87.5,165
-115,87.5,165
-114,87.5,165
-113,87.5,165
-112,87.5,165
-111,87.5,165
-110,87.5,165
-109,87.5,165
-108,87.5,165
-107,87.5,165
-106,87.5,165
-105,87.5,165
-104,87.5,165
-103,87.5,165
-102,87.5,165
-101,87.5,165
-100,87.5,165
-99,87.5,165
-98,87.5,165
-97,87.5,165
-96,87.5,165
-95,87.5,165
-94,87.5,165
-93,87.5,165
-92,87.5,165
-91,87.5,165
-90,87.5,165
-89,87.5,165
-88,87.5,165
-87,87.5,165
-86,87.5,165
-85,87.5,165
-84,87.5,165
-83,87.5,165
-82,87.5,165
-81,87.5,165
-80,87.5,165
-79,87.5,165
-78,87.5,165
-77,87.5,165
-76,87.5,165
-75,87.5,165
-74,87.5,165
-73,87.5,165
-72,87.5,165
-71,87.5,165
-70,87.5,165
-69,87.5,165
-68,87.5,165
-67,87.5,165
-66,87.5,165
-65,87.5,165
-64,87.5,165
-63,87.5,165
-62,87.5,165
-61,87.5,165
-60,87.5,165
-59,87.5,165
-58,87.5,165
-57,87.5,165
-56,87.5,165
-55,87.5,165
-54,87.5,165
-53,87.5,165
-52,87.5,165
-51,87.5,165
-50,87.5,165
-49,87.5,165
-48,87.5,165
-47,87.5,165
-46,87.5,165
-45,87.5,165
-44,87.5,165
-43,87.5,165
-42,87.5,165
-41,87.5,165
-40,87.5,165
-39,87.5,165
-38,87.5,165
-37,87.5,165
-36,87.5,165
-35,87.5,165
-34,87.5,165
-33,87.5,165
-32,87.5,165
-31,87.5,165
-30,87.5,165
-29,87.5,165
-28,87.5,165
-27,87.5,165
-26,87.5,165
-25,87.5,165
-24,87.5,165
-23,87.5,165
-22,87.5,165
-21,87.5,165
-20,87.5,165
-19,87.5,165
-18,87.5,165
-17,87.5,165
-16,87.5,165
-15,87.5,165
-14,87.5,165
-13,87.5,165
-12,87.5,165
-11,87.5,165
-10,87.5,165
-9,87.5,165
-8,87.5,165
-7,87.5,165
-6,87.5,165
-5,87.5,165
-4,87.5,165
-3,87.5,165
-2,87.5,165
-1,87.5,165
0,87.5,165
1,87.5,165
2,87.5,165
3,87.5,165
4,87.5,165
5,87.5,165
6,87.5,165
7,87.5,165
8,87.5,165
9,87.5,165
10,87.5,165
11,87.5,165
12,87.5,165
13,87.5,165
14,87.5,165
15,87.5,165
16,87.5,165
17,87.5,165
18,87.5,165
19,87.5,165
20,87.5,165
21,87.5,165
22,87.5,165
23,87.5,165
24,87.5,165
25,87.5,165
26,87.5,165
27,87.5,165
28,87.5,165
29,87.5,165
30,87.5,165
31,87.5,165
32,87.5,165
33,87.5,165
34,87.5,165
35,87.5,165
36,87.5,165
37,87.5,165
38,87.5,165
39,87.5,165
40,87.5,165
41,87.5,165
42,87.5,165
43,87.5,165
44,87.5,165
45,87.5,165
46,87.5,165
47,87.5,165
48,87.5,165
49,87.5,165
50,87.5,165
51,87.5,165
52,87.5,165
53,87.5,165
54,87.5,165
55,87.5,165
56,87.5,165
57,87.5,165
58,87.5,165
59,87.5,165
60,87.5,165
61,87.5,165
62,87.5,165
63,87.5,165
64,87.5,165
65,87.5,165
66,87.5,165
67,87.5,165
68,87.5,165
69,87.5,165
70,87.5,165
71,87.5,165
72,87.5,165
73,87.5,165
74,87.5,165
75,87.5,165
76,87.5,165
77,87.5,165
78,87.5,165
79,87.5,165
80,87.5,165
81,87.5,165
82,87.5,165
83,87.5,165
84,87.5,165
85,87.5,165
86,87.5,165
87,87.5,165
88,87.5,165
89,87.5,165
90,87.5,165
91,87.5,165
92,87.5,165
93,87.5,165
94,87.5,165
95,87.5,165
96,87.5,165
97,87.5,165
98,87.5,165
99,87.5,165
100,87.5,165
101,87.5,165
102,87.5,165
103,87.5,165
104,87.5,165
105,87.5,165
106,87.5,165
107,87.5,165
108,87.5,165
109,87.5,165
110,87.5,165
111,87.5,165
112,87.5,165
113,87.5,165
114,87.5,165
115,87.5,165
116,87.5,165
117,87.5,165
118,87.5,165
119,87.5,165
120,87.5,165
121,87.5,165
122,87.5,165
123,87.5,165
124,87.5,165
125,87.5,165
126,87.5,165
127,87.5,165
128,87.5,165
129,87.5,165
130,87.5,165
131,87.5,165
132,87.5,165
133,87.5,165
134,87.5,165
135,87.5,165
136,87.5,165
137,87.5,165
138,87.5,165
139,87.5,165
140,87.5,165
141,87.5,165
142,87.5,165
143,87.5,165
144,87.5,165
145,87.5,165
146,87.5,165
147,87.5,165
148,87.5,165
149,87.5,165
150,87.5,165
151,87.5,165
152,87.5,165
153,87.5,165
154,87.5,165
155,87.5,165
156,87.5,165
157,87.5,165
158,87.5,165
159,87.5,165
160,87.5,165
161,87.5,165
162,87.5,165
163,87.5,165
164,87.5,165
165,87.5,165
166,87.5,165
167,87.5,165
168,87.5,165
169,87.5,165
170,87.5,165
171,87.5,165
172,87.5,165
173,87.5,165
174,87.5,165
175,87.5,165
176,87.5,165
177,87.5,165
178,87.5,165
179,87.5,165
-180,86.5,165
-179,86.5,165
-178,86.5,165
-177,86.5,165
-176,86.5,165
-175,86.5,165
-174,86.5,165
-173,86.5,165
-172,86.5,165
-171,86.5,165
-170,86.5,165
-169,86.5,165
-168,86.5,165
-167,86.5,165
-166,86.5,165
-165,86.5,165
-164,86.5,165
-163,86.5,165
-162,86.5,165
-161,86.5,165
-160,86.5,165
-159,86.5,165
-158,86.5,165
-157,86.5,165
-156,86.5,165
-155,86.5,165
-154,86.5,165
-153,86.5,165
-152,86.5,165
-151,86.5,165
-150,86.5,165
-149,86.5,165
-148,86.5,165
-147,86.5,165
-146,86.5,165
-145,86.5,165
-144,86.5,165
-143,86.5,165
-142,86.5,165
-141,86.5,165
-140,86.5,165
-139,86.5,165
-138,86.5,165
-137,86.5,165
-136,86.5,165
-135,86.5,165
-134,86.5,165
-133,86.5,165
-132,86.5,165
-131,86.5,165
-130,86.5,165
-129,86.5,165
-128,86.5,165
-127,86.5,165
-126,86.5,165
-125,86.5,165
-124,86.5,165
-123,86.5,165
-122,86.5,165
-121,86.5,165
-120,86.5,165
-119,86.5,165
-118,86.5,165
-117,86.5,165
-116,86.5,165
-115,86.5,165
-114,86.5,165
-113,86.5,165
-112,86.5,165
-111,86.5,165
-110,86.5,165
-109,86.5,165
-108,86.5,165
-107,86.5,165
-106,86.5,165
-105,86.5,165
-104,86.5,165
-103,86.5,165
-102,86.5,165
-101,86.5,165
-100,86.5,165
-99,86.5,165
-98,86.5,165
-97,86.5,165
-96,86.5,165
-95,86.5,165
-94,86.5,165
-93,86.5,165
-92,86.5,165
-91,86.5,165
-90,86.5,165
-89,86.5,165
-88,86.5,165
-87,86.5,165
-86,86.5,165
-85,86.5,165
-84,86.5,165
-83,86.5,165
-82,86.5,165
-81,86.5,165
-80,86.5,165
-79,86.5,165
-78,86.5,165
-77,86.5,165
-76,86.5,165
-75,86.5,165
-74,86.5,165
-73,86.5,165
-72,86.5,165
-71,86.5,165
-70,86.5,165
-69,86.5,165
-68,86.5,165
-67,86.5,165
-66,86.5,165
-65,86.5,165
-64,86.5,165
-63,86.5,165
-62,86.5,165
-61,86.5,165
-60,86.5,165
-59,86.5,165
-58,86.5,165
-57,86.5,165
-56,86.5,165
-55,86.5,165
-54,86.5,165
-53,86.5,165
-52,86.5,165
-51,86.5,165
-50,86.5,165
-49,86.5,165
